name,id,geom
12 PIQ,1,0106000020E6100000010000000103000000010000000B000000998CA4446FA90B4088B6C972C22B4740B6B7536276A90B40528F1DEBC32B4740AD500B12A9A90B40278F8B8FCD2B47400C92A9F1F0A90B406A23CD5ED82B47403D8DD257FCAA0B40F268F824D42B4740C815288785AC0B40B52F3EF8CE2B47403BD2C5CEF0AC0B40A96799B8CD2B4740FE891403F1AD0B40D3C046B6C92B47403B3AF600A7AE0B40A40CE1CDC72B4740CF5844869AAE0B401919CE91C32B4740998CA4446FA90B4088B6C972C22B4740
10 PIQ,2,0106000020E6100000010000000103000000010000000A00000024EADF3AC2A50B4028BB7248892B47402A3187DDE1A50B409604A7E2C02B47406D2C2501D0A60B40A8D4BE3EC12B47406345A48AF0A60B40E08D6B63B92B4740F83E029C33A70B40C0CF1790B32B474060D9177EF6A70B405CFC7A78B22B474016E315D20EA90B404DE73167B22B4740E7B733C67AA90B40787AE9FA8F2B4740AFC68FE46EA70B40609DAAE68B2B474024EADF3AC2A50B4028BB7248892B4740
11 PIQ,3,0106000020E6100000010000000103000000010000000E000000678B93127FA90B408D1A2E52902B4740D515AA7F0FA90B407AC4C192B22B4740838CED7442A90B40D228102AB72B4740BC15B4EB4FA90B40588E89DBBE2B4740A5B3A0E25AA90B40131DE41EC12B4740CF331228BFAD0B4060E34522C22B47403665B54F24AF0B4062117E67C22B4740A580C26878AE0B40F7289553BA2B474018B284CA87AD0B40B46C1CFFAF2B47407E1AD7BFB8AC0B40CF4EB70BA72B4740029FAC55C8AB0B4089A348139D2B4740DA4090F7D4AA0B40ADDE3E13932B474075244598D5A90B4087DAE616912B4740678B93127FA90B408D1A2E52902B4740
11 PAL,7,0106000020E6100000010000000103000000010000000F000000BAB7D713A66A0B4008B5AFD9D52B4740B95AF2FEA96A0B40FAFE6091DB2B47400CDB543AA66A0B40B0B2A0DFE02B47404BF5374DC16A0B4051ADFD77F82B4740B551DD7E456B0B4044E1C26FF92B4740C111E899C76B0B408E441CC0F82B47404E818F149B6C0B40E5C54242F62B4740667597268F6D0B4005A272C6F02B474039F1C205946D0B4029E4A5B3F02B47401721DB179E6D0B406415B5B4EE2B474003CAE462EF6A0B403B9F5D32CF2B474046671F93A66A0B40D1F5ECB2C82B4740DD8D6CA8A56A0B40C0D2B18BCC2B474062C00920A46A0B4068F4D6FDD22B4740BAB7D713A66A0B4008B5AFD9D52B4740
12 PAL,9,0106000020E610000001000000010300000001000000160000005025C9FD39670B401E287E2FFC2B4740C23190DE36670B400038FB2FFC2B47403E5E7FEB49670B40ECB79AF3062C4740F0E013BD4B670B403A01D9C2072C47400424C0C6D6660B402F9376D4112C4740F7EB81A4CB660B40496779A0132C4740349FE687C0660B401E3AC87D152C47401C30C0709E660B40F6D91F271B2C4740703C1D5D3E660B403B130BF72B2C4740AC8D209F1E660B40A4FFA0A8312C4740FF5B80A5D2650B40E9A8B9733F2C474092149DD5B0650B4000149486432C474004472E8087650B40B76E1F84482C4740F61F49C824660B40FAB72D3D4C2C4740ED21050FC0660B4040A8FF934E2C4740ADFE60F24C670B40607D42D84F2C4740E63BAB39C3670B4058D85A31512C47409F70DAE928680B4076E893E8512C4740D3A1E10597680B40059B70D80D2C474023D58C2C9C680B406AFA605FF92B47408BAD090756680B408570A6A6F92B47405025C9FD39670B401E287E2FFC2B4740
13 PAL No,11,0106000020E610000001000000010300000001000000110000009107BD3C66750B40AA6E38E7FE2B4740435682E18C770B40DAE255AC242C4740F69D7654F1770B406034E789212C474041D8F277567A0B40FF749D2B122C474016768633787B0B405D81821C092C47405D56C5AE897C0B40F2DDF7AE012C474011A06F299B7D0B4026176841FA2B4740FD32F3DFC97C0B40C2334094F22B474072B9D3AEFF7A0B402A5F7CCAE32B474011637B44BC7A0B40D457480EE22B4740E91E3E6FBA7A0B4078442802E22B4740EF437280B67A0B407E2AE2E7E12B4740F96C66DC24790B407261CC60FD2B4740B399159869750B40E98E021EFE2B4740BB43B35769750B4054B0482DFE2B47403F97C76D66750B401F11D2DAFE2B47409107BD3C66750B40AA6E38E7FE2B4740
13 PALnou,12,0106000020E61000000100000001030000000100000014000000145FC6ECBE730B406938C0F5DB2B474045D10BF878750B4049AC3F18FA2B47408F33E9DB69750B40B3875B0EFE2B4740B399159869750B40E98E021EFE2B4740F96C66DC24790B407261CC60FD2B4740EF437280B67A0B407E2AE2E7E12B4740507A2101677A0B4036096AD4DF2B47409F5708F7527A0B40CBAFC12FDE2B4740AD49432D527A0B408CD44427DE2B4740F4DE99F34A7A0B4004C40484DD2B47407EA52FB2327C0B404777CEF0C22B47402593BC3A37770B409D42A34DA72B4740EA85009D1F770B401112A11BA92B4740DDA649FE57760B4092109E8EBA2B474023E42BBE3D760B40C15F67D9BD2B4740C918BDA2F7750B40C67E5B38CF2B47403A3A26EDCD750B40937C11F6D22B4740E0CA9830AB750B40D7141B2AD42B47409597C47588750B407226115ED52B4740145FC6ECBE730B406938C0F5DB2B4740
13 PIQ,13,0106000020E61000000100000001030000000100000015000000804664A008970B40BF9627A0BE2B474024EFE76C42970B401FCB47B1C42B4740EA8908C87A970B4059181D9CD22B4740E10BA26208980B405B395A8ED42B4740780864384C990B40B9C10A73DA2B47401ED0E133279A0B40B1256E4CDE2B4740D53F0DB9E0990B401BB01064E22B4740EC01B399C9990B4052420CCBE32B4740827C1377C9990B404CE72BCDE32B47409BBA6889EA9D0B4053C4F704042C4740962A8749EB9D0B4050DFE8F8032C474049DC75141E9E0B40FE2397C4002C4740C01EA6FF809E0B40D4F2D246F42B47408D66D9BFC49D0B404044D0FCEE2B47405FB741C32D9C0B40A2935B42E42B4740B7A6E1DCBE9A0B409830FC04D82B47405C0EA3104C970B40D5C4B2D5BA2B4740911FF0081E970B409795FADCBA2B47407505AA7317970B40C7192005BC2B4740B8D7EA3E0A970B4018398957BE2B4740804664A008970B40BF9627A0BE2B4740
14 PAL,14,0106000020E6100000010000000103000000010000001100000090A89C160B740B404E264CD3402C47409139A1E30A740B40E3105DD0402C4740BC822C470A740B40215A69C7402C474095B6E0E2AC740B406F3BC0B13B2C474055D2E2022F760B409011AA882F2C47403CA97BB48D770B40DD67BFB8242C47405648A54A7E730B40D18AD297DC2B4740A8792F0FAF700B409DE9E30BE72B4740A399D98FAC700B407C02E114E72B4740E5192B6A95700B40A066946EE72B4740327E74A8E76D0B40D90D5B7FF12B47403B3E10057A6E0B40D2958C9AF42B4740DF562662B56E0B40DB40ECB2F52B47404AA4DC909C700B40D86914E9042C47403279444F84720B40F22FE597272C4740CDD7BDA506740B409669FEF6402C474090A89C160B740B404E264CD3402C4740
14 PAL A,15,0106000020E6100000010000000103000000010000000B000000EA2F6AEF95720B40F73DC632E02B4740776092E5CA760B409E5BD7BE2A2C47405F6378BB8C770B4029B223AF242C47405CD9113B66750B40483CD3E7FE2B474014AC7CA167750B408A376C16FF2B47408AAB21F965750B4013379CF8FE2B4740A91C19C764750B4020526946FF2B4740F074696F83730B40C3BBF028DD2B47402EDB123783730B40D5940625DD2B474096C348256E730B4096E34328DD2B4740EA2F6AEF95720B40F73DC632E02B4740
